Sr No,District,Name,Address,Contact #
715,Rawalpindi,Ali Lab,Ali Lab Opposite BBH Shop No 1 Murree Road Rawalpindi,0303-8849991
716,Rawalpindi,"Allied Diagnostic Centre, Satellite Town, Rawalpindi","D-845, 5th Road, Satellite Town, Rawalpindi",0333-3643355
717,Rawalpindi,Allied Medical Laboratories,"Shop No.25/A, Al-Amin Plaza, Mall Road Saddar, Rawalpindi",03343875748
718,Rawalpindi,Al-Shahbaz Modern Diagnostic Center,Near Al Shahbaz Hospital Thana Road Kahuta Rawalpindi,0300-5044707
719,Rawalpindi,Al-Shifa Medical Lab,1st Floor Shop No 02 and 03 Plot No 112 C-5 Railway Scheme 01 Main Bazar Chaklala Rawalpindi,0315-5724524
720,Rawalpindi,"Aqsa Medical Diagnostic Centre, 48-A Satellite Town, Rawalpindi",48-A Satellite Town District Rawalpindi,
721,Rawalpindi,Ashfaq Lab,Main Bostan Khan Road Near Car Chowk Dhoke Chaudhrian Rawalpindi,03145145048
722,Rawalpindi,Askari Lab,"Aziz Clinic 2nd Floor, Raffy Mall, Rawalpindi",03215363761
723,Rawalpindi,"Askari Lab, Mall Road, Rawalpindi",Mall Road Sadar Rawalpindi,0321-5422882
724,Rawalpindi,Askari Pathology Lab,"Near Boys High School, G.T Road, Mandra, Gujar Khan, Rawalpindi",03315115457
725,Rawalpindi,Aslam Healthcare Lab,"Babu Market Main Bazar Chak Bali Khan Near Man-O-Salwa Bakers, Rawalpindi",03414330002
726,Rawalpindi,Axon Healthcare,"Fazal Town, Phase 1, Main Airport Road, Rawalpindi",0336-5409033
727,Rawalpindi,Ayaan Diagnostic Lab,"Shop # 3, F-825, Opposite Main Holy Family Hospital, Rawalpindi",0343-5353266
728,Rawalpindi,"Ayesha Lab & Diagnostic Centre, Opp BB Hospital Murree Road, Rawalpindi",Shop No.2 Kashmir Gate Plaza Opp BB Hospital Murree Road District Rawalpindi,
729,Rawalpindi,"Ayyub Lab, Police Station Road, Rawalpindi","Shop No 60,61/B Ist Floor Mega Medical Complex, Police Station Road, Rawalpindi",0333-5464271
730,Rawalpindi,AZ Diagnostics,"Shop No 3 Kashmir Gate Plaza Main Murree Road Opposite BBH, Rawalpindi",
731,Rawalpindi,Bangish Lab,"Bangish Colony, Imam Bargah Road, Pirwadhai, Rawalpindi",0331-5271564
732,Rawalpindi,Bio Diagnostic Centre,"BB-74-A, Near FG TB Centre, Asghar Mall Road, Rawalpindi",
733,Rawalpindi,"Bio Lab Clinical laboratory, Mughalabad Rawalpindi","Shop No 845, sultan Complex, Abid Majeed Road Mughalabad Rawalpindi Cantt",0333-5177895
734,Rawalpindi,"Bio Path Clinical Labs Islamabad,Mian KRL Road Rawalpindi","41 Street No 4 , Jamshaid Colony Main KRL Road ,Rawalpindi",
735,Rawalpindi,Bio path Lab and Diagnostic Centre,Opposite Out Gate Rawalpindi General Hospital Murree Road Rawalpindi,0321-5330548
736,Rawalpindi,Biopath Lab,"Healer Hospital, Saidpur Road, Satellite town, Rawalpindi",0333-5178210
737,Rawalpindi,Biotech Molecular & Clinical Lab,"F-883-1, Satellite Town, Opp-Holy Family Hospital Gate no 02.Rawalpindi",0335-5522688
738,Rawalpindi,Biotech Molecular Diagnostic Lab,"E-1, Main Saidpur Road Near Holy Family Stop, Rawalpindi",0335-5098988
739,Rawalpindi,Biozone Medical Laboratories,"Off No 17 Opp Benazir Hospital,Kashmir Gate Plaza,Murree Road,Rawalpindi",0302-6688587
740,Rawalpindi,"Bismillah Diagnostic Centre, Rawalpindi","Main Peshawar Road, Near Rewaj Marriage Hall, Rawalpindi",0300-8464049
741,Rawalpindi,British Lab,"Housing Scheme No.1 Near D.S.P Office, Royal Plaza, Gujar Khan, Rawalpindi",03345428274
742,Rawalpindi,Bukhari Diagnostic Lab,"Flat No.14-A, Third Floor United Plaza Shamsabad, Rawalpindi",03224920171
743,Rawalpindi,"Cantt Lab & Medical Imaging, Mall Road, Rawalpindi","Office No 20, Al Amin Plaza, Mall Road, Rawalpindi",0300-5128137
744,Rawalpindi,Cantt Way Lab,"Al-Amin Plaza PAF Base Section Centre Sadar, Rawalpindi",03355518535
745,Rawalpindi,Capital Diagnostic Centre,"Makson's Arcade, 5th Road Commercial Market Opposite Tehzeb Baker, Satellite Town, Rawalpindi",03315115457
746,Rawalpindi,Capital Diagnostic Centre,"Farooq Khana Plaza, Gadwal Morre, Quaid Avenue",0331-9192296
747,Rawalpindi,"Capital Medical & Diagnostic Centre, Satellite Town, Rawalpindi","Plot No. 372, Ayub Center, Main Saidpur Road, Rawalpindi",0321-8616161
748,Rawalpindi,Care Clinical Laboratory,"Faisal Shaheed Road, Taxilla, Rawalpindi",03110520138
749,Rawalpindi,"Care Laboratories, Saidpur Road, Rawalpindi","973-B Haideri Chowk, Satellite Town, Rawalpindi",0310-6501867
750,Rawalpindi,Center of Excellence Laboratory,"A/224-5&6, Sabza Zar Dheri, Range Road Near CMH, Rawalpindi",
751,Rawalpindi,"Central Lab, Murree Road, Rawalpindi","1006-04 Opp Out Gate BBH, Murree Road District Rawalpindi",
752,Rawalpindi,"Chughtai Pathalogy Lab,","Global Star Plaza, Near Kali Tanki Chowk Said Pur Road, Rawalpindi",0343-9611702
753,Rawalpindi,Citi Lab Kashmir Gate Plaza Opp Benazir Bhutoo Hospital Marree Road Rawalpindi,Citilab Kashmir Gate Plaza Opp Benazir Bhutoo Hospital Marree Road Rawalpindi,0300-8501037
754,Rawalpindi,Citizen Medical Lab,Shop No 101 Family Plaza Gate No 03 Holly Family Hospital,03335608074
755,Rawalpindi,City Care Lab,"Opp Street No 15 Kamalabad, Dhoke Syedan Road, Rawalpindi",0313-5077700
756,Rawalpindi,"City Medicare Lab,","Opposite Main Gate 1-2, Holy Family Hospital, Satellite Town, Rawalpindi",0321-5161700
757,Rawalpindi,"D Watson Lab & Diagnostics, Mall Road, Rawalpindi","24, Al Amin Plaza Mall Road Sadar Rawalpindi",0300-5574900
758,Rawalpindi,Digital Diagnostics Lab,"Shop No. G/2, Younas Plaza, Opposite Mian Jee Hotel Near Holy Family Gate No.2, E-Block, Satellite Town, Rawalpindi",03360787871
759,Rawalpindi,Doctor's Lab,"67/6-E, Satellite Town, Rawalpindi",03009839839
760,Rawalpindi,"Dr Aslam Upal Diagnostic Centre, Rawalpindi",3 Qaid Avenue Lalazar District Rawalpindi,0321-5111169
761,Rawalpindi,Dr. Samina Amanat Lab & Medical Center,"Shop No. D-1022, Main Saidpur Road, Rawalpindi",
762,Rawalpindi,Elite Lab,Shop No 02 Jawad Plaza Kalma Chowk Dhamial Road Cantt Rawalpindi,03335411135
763,Rawalpindi,"Ellahi Lab, Jamshaid Colony, Rawalpindi","Dr Qdeer Khan Road Khana Pul Peer Jamshaid Colony, Rawalpindi",03345289809
764,Rawalpindi,Emirates Diagnostic Center,"0-1002-B, Behind Kashmir Gate Plaza Opposite BBH Murree Road Rawalpindi",03227362972
765,Rawalpindi,eShifa Lab,"Rasheed Nursing Home, E-Block, Satellite Town, Said Pur Road, Rawalpindi",03086444222
766,Rawalpindi,Excellent Care Laboratory,"Abu Talal Plaza Near UBL Bank Chowk Pindori, Kallar Syedan, Rawalpindi",03349543411
767,Rawalpindi,Family Clinical Lab,"Air Port Housing society, sector-4, Gulzar-E-Qaid, Rawalpindi",03215021188
768,Rawalpindi,Family Clinical Laboratory,"Westridge-III, Allah Abad, Rawalpindi",0300-5281095
769,Rawalpindi,Family Diagnostic Labratory,Mirza Market Allahabad Westridge 3,0330-9266179
770,Rawalpindi,Federal Diagnostic Centre,"E-61/5, Block E, Satellite Town, Rawalpindi",
771,Rawalpindi,Future Labs,"Plot No 6 Main Haider Road, Saddar, Rawalpindi",0336-5287694
772,Rawalpindi,Genetics Resource Centre & GRC Lab,"1st Floor Rafay Mall Peshawar Road Westridge, Rawalpindi",0333-5623478
773,Rawalpindi,Genomic Lab,"NW-793, Oppossite Rasheed Nursing Home, Near Agha Khan Collection Point, Saidpur Road, Rawalpindi",03335265718
774,Rawalpindi,Global Lab,"Behind Allied Bank, Shah Bibi Road, Near Sir Syed Chowk, Rawalpindi",03224646804
775,Rawalpindi,Global Medical Centre,"Plot No. B.730, Al Rahim Arcade, Satellite Town, Rawalpindi",0333-5125983
776,Rawalpindi,"Global Medical Services, Rawalpindi","Building No D-135, D Block, Back Side Midway Shopping Mall, 6th Road, Rawalpindi",0345-5998634
777,Rawalpindi,Green City Lab,"Family Plaza Ground Floor Opposite Gate No.03, Holy Family Hospital, Rawalpindi",03369994060
778,Rawalpindi,"Gulf Medical Centre, Rawalpindi","Service Road, West Shakrial, Rawalpindi",
779,Rawalpindi,"Hamza Diagnostic Centre,","Opposite Kohinoor Mills, Naseerabad, Peshawar Road, Rawalpindi",0300-9139392
780,Rawalpindi,Harmain Diagnostic Centre,"House No.F-833/3, Opposite Gate No.02, Holy Family Hospital, Rawalpindi",03145140925
781,Rawalpindi,"Hashmi Clinical Laboratory(4PM To 8PM), Misrial Road, Rawalpindi","Shop No 3 Anwar Market Street No 9 Misrial Road, Rawalpindi",0303-0549603
782,Rawalpindi,"Health Care Labs, Saidpur Road, Rawalpindi","Shop No. 3, Professional Arcade, Near Kural Interchange, West Service Road, Gulzar-e-Quaid, Rawalpindi",0333-5173972
783,Rawalpindi,Health Plus Lab,Health Plus Lab Upper Floor Noor Pharmacy Opposite Holy Family Hospital Satellite Town Rawalpindi,0331-5234034
784,Rawalpindi,Health Ways Laboratories,PIndi Road Opposite THQ Hospital Kallar Syedan,03215863220
785,Rawalpindi,Health Ways Laboratories,"8/III Murree Road Opposite Ministry Of Defence, Rawalpindi",0321-5565288
786,Rawalpindi,Healthline Diagnostic Services,"Plot No.61,Hall No.2, Rajput Street, Sector-E, Satellite Town, Rawalpindi",03315220859
787,Rawalpindi,Healthline Diagnostic Services,"Plaza No.44-1, Street No.26, Business Bay, DHA Phase-1, Bahria Phase-7, Rawalpindi",03218514354
788,Rawalpindi,HEALTHPLUS LABORATORIES (PRIVATE) LIMITED,Main Adyala Road opposite Noor Hospital near Nadra Office Rawalpindi,03339325935
789,Rawalpindi,Home Lab,Shop No 05 Chaudhry Sharif Plaza Opposite Imam Bargah Dhoke Syedan Rawalpindi,03056201526
790,Rawalpindi,"Humna Diagnostic Centre, Rawalpindi","30B-2 Main Satellite Town, Rawalpindi",0315-5141213
791,Rawalpindi,"Ibne Sena Laboratory & Diagnostic Centre, Satellite Town, Rawalpindi","House No 6, Kashmir Gate Plaza, Opp B.B Hospital, Muree Road, Satellite Town, Rawalpindi",0321-8508950
792,Rawalpindi,IDC Collection & Imaging Center,"Holy Family Hospital Opposite Gate No 3, Rawalpindi",0343-8530030
793,Rawalpindi,Khaleej Diagnostic Center,"284/2, Raja Akram Road Near Race Course Ground, Rawalpindi",0333-5121279
