Sr No,District,Name,Address,Contact #
252,Khanewal,"Doctors Lab & Research Center, 14-Stadium Road, Khanewal","14-Stadium Road, Khanewal",0331-6901040
253,Khanewal,"Doctors Lab Research Centre, Zargham School, Kabirwala, Khanewal","Makhdoom Pur Road, Near Govt Zargham School. Kabirwala, Khanewal",0300-6882646
254,Khanewal,"Ikram Diagnostic Laboratory, Kabirwala, Khanewal","Opp THQ Hospital /1122 Rescue Office Multan Road Kabirwala, Khanewal",0300-6883844
255,Khanewal,Life Line Clinical Lab,"Life Line Clinical Lab, Opposite Trama Center, DHQ Hospital, Khanewal",0321-9054010
256,Khanewal,Punjab Clinical Laboratory,"Block No. 14, Street No. 2, House No. 34/B, Stadium Road, Khanewal",0345-7397328
257,Khanewal,"Tehseen Clinical Lab, Bhutta Chowk, Khanewal","H No 9, Block No 10, Bhutta Chowk, Khanewal",0332-6326564
258,Lahore,A One Lab,"Maqbra Jahangir Road Shahdara Town, Lahore",03366911126
259,Lahore,A.M Diagnostic Lab,"Sher Shah Road scheme No.02 Near Javed Sweets Shad Bagh, Lahore",
260,Lahore,"AAA Diagnostic Lab, Millat Road, Lahore","Basement Ikram Medical Centre, Millat Road, Islampura, Lahore",0300-9696488
261,Lahore,"Aalimah Diagnostic Center, 12-Shadman-II Jail Road, Lahore","12-Shadman-II Opp PIC Hospital Jail Road, Lahore",0322-2028083
262,Lahore,Abu Bakar Lab,"926/C, MAULANA SHAUKAT ALI ROAD, FAISAL TOWN, LAHORE.",03334349783
263,Lahore,Access Laboratories,"Office No.131-C, C-Block Market, Gulshan e Ravi, Lahore",0347-4052617
264,Lahore,"ACCU Lab (PVT) LTD, Rasool Park, Lahore","21-Shama Road Rasool Park, Ichra, Lahore",0311-1222207
265,Lahore,ACL Diagnostic Centre,"Main Ghazi Road, Opposite Speedo Bus Stop, Shaukat Town, Lahore",0321-9444002
266,Lahore,"Advanced Medical Diagnostic Centre,","9-B,College Block, Allama Iqbal Town, Lahore",0321-4844984
267,Lahore,AIMS Diagnostic Centre,236 A Faisal Town opposite Street Jinnah hospital Lahore,03474764394
268,Lahore,Ak Laboratory,"156-A Faisal Town Opp Jinnah Hospital, Lahore",0333-4156876
269,Lahore,Al Asr Lab & Diagnostic Center,"712-Kamran Block, Iqbal Town, Wahdat Road, Lahore",
270,Lahore,Al Faisal Lab,"Opp General Hospital, Lahore",0321-7197177
271,Lahore,Al Hamdam Lab,"Ghazi Ilam Din Road, Lytton Road, Lahore",0306-4632580
272,Lahore,Al Hameed Lab Research Centre,"28-P-Block, Sabzazar, Lahore",0333-4611346
273,Lahore,"Al Khursheed Lab & Imaging Centre,","81-D Timber Market Ravi Road, Lahore",0302-4157600
274,Lahore,"Al Khurshid Diagnostic Centre, Lahore","Chowk Nakhuda Wassan Pura, Lahore",
275,Lahore,Al Madina Lab Diagnostic Center,"23-km Main Ferozepur Road, Kahna Nau, Lahore",0310-5270444
276,Lahore,"Al Madina Medical Lab, Bhatta Chowk, Lahore","21-J, K.B Colony, Near Bhatta Chowk, Lahore",0322-8010584
277,Lahore,"Al Nasar lab & Diagnostic Centre, Maulana Shaukat Ali Road Lahore","31-E, Johar Town Maulana Shaukat Ali Road Lahore",0300-8400944
278,Lahore,"AL Nasar Lab, Maulana Shaukat Ali Road, Lahore","950-B, Maulana Shaukat Ali Road, Lahore",0301-8400944
279,Lahore,"Al Noor Diagnostic Centre, Shadman, Lahore","680-A, Shadman-1, Opp Fatima Memorial Hospital, Lahore",0300-8460505
280,Lahore,Al Noor Laboratory,30 Sham Nagar Road Lahore,03008415963
281,Lahore,Al Razi International Lab & Research Centre,"18-A Molana Shaukat ali road Johar town, Lahore",0345-4355515
282,Lahore,Al Shafi Pathology Lab,"15-Gulshan Block Main Boulevard, Allama Iqbal Town, Lahore",03094411506
283,Lahore,"Al Shifa Lab Diagnostic Center, LGH, Lahore","Near Caltex Petrol Pump, LGH, Lahore",0321-4436393
284,Lahore,"Al Shifa Lab Diagnostic Centre, Lahore",Nasrullah Plaza Near Kora Stop Main Walton Road Cantt Lahore,0321-4436393
285,Lahore,Al Sirat Lab,"172/5-C II Mader e Millat Road Near Ghazi Chowk College Road Township, Lahore",0307-5613399
286,Lahore,"Alam International Laboratory,","House No. 144-D, Mir Street (Opposite Office Al-Rehman Homes) Moulana Shoukat Ali Road, Johar Town, Lahore",03004380980
287,Lahore,"Ali Labs, Cocacola Stop 230 Multan Road, Lahore","Cocacola Stop 230 Multan Road, Lahore",0322-8441899
288,Lahore,"Allied Lahore Lab, Paragon City, Lahore","Plaza No. 11, Imperial Market, Paragon City, Barki Road, Lahore",0308-7905860
289,Lahore,Alpha Pathology Lab,"77-41-B1, Township, Lahore",0345-8289015
290,Lahore,Alpine Labs,"496 Block 2, Sector D2, Azmat Chowk, Green Town , Lahore",03018403996
291,Lahore,Al-Razi International Lab & Research Centre,"146-A, GOR-5, Block-A, Faisal Town, Lahore",03344275960
292,Lahore,Apex Diagnostic Centre,"207-1, B-II, Near Dr. Ashfaq Clinic, M. Ali Chowk, Township, Nishtar Town, Lahore",03224841474
293,Lahore,"Aqsa Lab, Shahdara, Lahore","Aqsa Lab, Chowk Shahdara More, Lahore",0333-4742302
294,Lahore,"Arshad Ultrasound Clinic, Model Town, Lahore",Office No 22 Saleem Arcade Block-Q Model Town Lahore,0300-4696803
295,Lahore,Asad Clinical Lab,"152-A, Faisal Town, Lahore",0321-4237621
296,Lahore,"Asia Diagnostic Centre, Township, Lahore","House No 14, 1C-2, College Road, Quaid e Azam Town, Township, Lahore",0300-7068888
297,Lahore,"Asia Diagonostic Lab, Township, Lahore","Building No 520, Block No 15, Sector B1, Quaid e Azam Town, College Road, Township, Lahore",0322-8095143
298,Lahore,Ayesha Clinical Lab,"113D, Gulshan-e-Ravi Near Malik Muneer Road, Lahore",03334582944
299,Lahore,Azam Lab,"Shop No. 3 & 2, Shalamar Arcade (Near Shalamar Hospitals Meezan Bank) Shalamar Link Road, Lahore",0321-4463451
300,Lahore,Aznostics-The Diagnostic Centre,"71 Jail Road, GOR I, Lahore",0321-4805577
301,Lahore,Best One Lab,"401 E-II/A Johar Town, Lahore",
302,Lahore,"Bestway Medical Clinic, Main Boulevard Johar Town, Lahore","77-G-2 Phase-II Main Boulevar Johar Town, Lahore",0300-8446183
303,Lahore,Bio Medical Laboratory,"23 Gulshan Block Allama Iqbal Town, Lahore",0302-4888158
304,Lahore,Biocare Laboratories & Research Center,"Shop & LG 5&6 NN Medical Complex Near Gate No.03 LGH Main Ferozepur Road, Lahore",03335777103
305,Lahore,Biogen Medical Laboratory,"407-A-1, Haider Road Township, Lahore",0333-6261968
306,Lahore,Biotech Lahore Lab,Flat#761- Q BLOCK MODEL TOWN LAHORE,03099948830
307,Lahore,Biotech Lahore Lab & Research Center,"188-A, Faisal Town, Opposite Emergency Gate Jinnah Hospital, Lahore",
308,Lahore,Biotest Laboratory,"Upper Floor, House No.681, Shadman Colony, Lahore",03224920171
309,Lahore,"Bokhari Lab, Faisal Town, Lahore","538-A Shaukat Ali Road Faisal Town, Lahore",0307-7860444
310,Lahore,"Canal View Diagnostic Centre, Old Muslim Town, Lahore","4 A/1-Noon Avenue, Old Muslim Town Lahore",
311,Lahore,"Cantt Lab Sadar Bazar, Lahore","9/B Lahore Road Sadar Bazar, Lahore",0321-8468271
312,Lahore,Capital Lab,"26A, HBFC Villas, Faisal Town, Lahore",0300-9490764
313,Lahore,"Capital Lab, Jail Road, Lahore","126 Halitat Flat Shadman II Jail Road, Lahore",0300-9490764
314,Lahore,Care Clinical Lab,"Bank Stop, Ashiyana Road, Iqbal Chowk Near Kashmar Bakers, Lahore",0333-8012374
315,Lahore,"Care Diagnostics Lab,","Health City Hospital 92-Block, H-1 Wapda Town Lahore",03334473921
316,Lahore,CDC Laboratories,"14-1-C1 Collage Road, Town Ship Lahore",0321-9415231
317,Lahore,CDC Laboratory,"Opposite THQ Hospital, Raiwind, Lahore",03034396934
318,Lahore,Central Lab,"519-A, Faisal Town, Lahore",03364246075
319,Lahore,"Chughtai Lab Collection Centre, Saddar Cant Lahore","Chughtai Pathology Lab, 49 G Block, DHA Phase -I Lahore",0345-8449392
320,Lahore,"Chughtai Pathology Lab, DHA, Lahore","Chughtai Patholgy Lab,49-G -Block, DHA Phase-I, Lahore",0333-4983696
321,Lahore,Chughtai Stat Lab,"Heart & Medical Centre, Block-A, Guldasht Town, Lahore",03434872037
322,Lahore,Chughtai Stat Lab,"Allama Iqbal International Airpot, Lahore",03004354411
323,Lahore,Chughtai Stat Lab.,"Akram Medical Complex, Ayesha Siddiqua Road, Main Gulberg, Lahore",0340-4504148
324,Lahore,"Chughtais Plus Lahore Laboratory, Johar Town, Lahore","478-Meer Street, Johar Town, Lahore",03224295129
325,Lahore,Citi Lab & Research Center,"525-A Maulana Shoukat Ali Road, Near Jinnah Hospital, Faisal Town, Lahore",
326,Lahore,"City Lahore Lab, Samanabad, Lahore",297-F Block Rehman Pura Tankywala Chowk Link Wahadat Road Lahore,
327,Lahore,Clin Lab,"517-A, Faisal Town, Lahore",0300-8476503
328,Lahore,Clinlab PCR,"531-A Faisal Town, Lahore",0322-0000704
329,Lahore,Community Health Solution (CHS Lab),"355-A 1st Floor Mazzab Bahbrah Ferozpur Road, Lahore",
330,Lahore,Community Welfare Lab,"9-10, 1st Floor Marhaba Tower, Karim Block, Allama Iqbal Town, Lahore",03214285189
331,Lahore,Concept Laboratories,"Basement Shahnaz Medical Centre, Shalimar Link Road, Lahore",
332,Lahore,"CORC Lab, DHA Lahore","200-Y, DHA Lahore",0345-4211113
333,Lahore,Cosmetique Lab,"190-DD Commercial Area Next to Jamia Mosque Phase No 4, DHA, Lahore",0300-4023114
334,Lahore,"Decent Hormone Lab, Ferozepur Road, Lahore","OPD Gate No 3 Lahore General Hospital Ferozepur Road, Lahore",0322-4080664
335,Lahore,Diagnostic Zone Lab,"16-Awasia Society Near Ghazi Chowk, College Road, Lahore",0312-4949303
336,Lahore,"Doctor Medical Laboratory, Lahore",4-A Akbar Road Shalamar Lahore,0333-4216507
337,Lahore,Doctors Diagnostic Laboratory Centre,"21-G, Block-G-1, Johar Town, Lahore",
338,Lahore,Doctors Lab,"856/N Ponch Road Samanabad, Lahore",03347992764
339,Lahore,Doctor's Lab,"73 Jail Road, Taj Arcade, Opposite Services Hospital, Lahore",0321-5088023
340,Lahore,"Doctors Lahore Laboratory, Rajgarh, Lahore","Near Al Ghazali School, Ex-Firdous Cinema, Rajgarh, Lahore",0307-4486193
341,Lahore,Dr. Essa Laboratory & Diagnostic Centre,"46-B PECO Road, Kot Lakhpat, Lahore",
342,Lahore,Dr. Essa Laboratory And Diagnostic Centre,"91-T, CCA, Phase-II, Lalik Jan Chowk, DHA, Lahore",03004722595
343,Lahore,"Dr. Zaheer Diagnostic Centre, 37-M, Model Town, Lahore","37-M, Model Town Ext Civic Centre, Lahore",0334-8633443
344,Lahore,"Eman Diagnostic Lab,Faisal Bank, Lahore","Near HBL Chowk Mughalpura, Lahore",0332-4392886
345,Lahore,Eon Diagnostics,"3M, Model Town Externtion, Lahore",
346,Lahore,Evergreen Laboratories,"Canal Road Canal Bank Housing Scheme, Lahore",
347,Lahore,"Excel Lab, Thokar, Lahore","20-West Wood Colony, Canal Road, Thokar, Lahore",0300-8555023
348,Lahore,Excel Labs,"Plaza No.301, Y-Block, Phase-III, Near Haji Restaurant DHA, Lahore",
349,Lahore,"Excel Labs, Model Town, Lahore","1-M, Civic Center, Model Town, Lahore",0300-0800321
350,Lahore,Fatima Clinical Laboratory,"Moula Bakhsh Chowk Bilal Gunj, Lahore",0323-8323323
351,Lahore,Fatima Mukhtar Laboratory,"39-Main Peco Road Near Caltex Petrol Pump, Pindi Stop, Lahore",0302-5644440
352,Lahore,"Fazal Medical Diagnostic Centre, Township, Lahore",Fazal Medical Diagnostic Centre 542 A2 Block 2 Haider Road Township Lahore,0301-2629047
353,Lahore,Fortis Diagnostic Lab,"Hameedah Memorial Hospital Fortis Lab D-Block Valancia Town, Lahore",0345-4515418
354,Lahore,Galaxy Diagnostic Laboratory,"21-L, Gulberg-III, Main Ferozepur Road, Lahore",03334168904
355,Lahore,Galaxy Diagnostic Stat Laboratory,"Noor Hospital, 18-KM, Ferozepur Road Opposite Descon Head Quarter, Shadab Garden, Lahore",03334168904
356,Lahore,Genix Lab & Diagnostic Centre,"Near Kot Khawaja Saeed Hospital Opposite AK Pharma China Scheme, Lahore",03234111066
357,Lahore,Genome Centre Lab,"Allama Iqbal International Airpot, Lahore",03218761976
358,Lahore,"Genome Centre Lab, Shaukat Khanum Road, Lahore","Al Sudais Plaza, CL-25 Block-B, Abdalian Corporation Housing Society, Shaukat Khanum Road, Johar Town, Lahore",
359,Lahore,G-Lab,"Main Kala Khatai Road, Railway Crossing No. 9, Shahdara, Lahore",0331-7953310
360,Lahore,"Global Diagnostics Labortory, Main Jail Road, Lahore","97-A, Main Jail Road, Lahore",
361,Lahore,"Green Care Lab,(3PM To 10PM) Jail Road, Lahore","Plot No.7,Basement,Sarwar Road, Lahore",0320-4410458
362,Lahore,Green Diagnostic Centre,"24-A, Commercial Sector-C, Near KFC, Bahria Town, Lahore",03214574743
363,Lahore,Green Life Medical Lab,"Nishtar Colony, Lahore",0305-8592781
364,Lahore,Halcyon Laboratories,"1-E, Amin Chamber, Main Boulevard Main Market, Gulberg-II, Lahore",03044033000
365,Lahore,Hamd Lab & Research Centre,"200-C, BOR Road near Bhulla Chowk Johar Town, Lahore",03009490764
366,Lahore,Hamdard Lab & Diagnostic Centre,"591-Air Line Society, Near Shoukat Khanum Hospital, Lahore",0311-4607861
367,Lahore,Hameed Laboratories,"Near Seek Schook, Opposite Police Station, Mustafabad( Dharampura), Lahore",0321-4142182
368,Lahore,Hasan Laboratory,"Opposite gate No.3, General Hospital, Main Ferozepur Road, Lahore",03125822859
369,Lahore,Health One Diagnostic Lab,"391/E, Main Boulevard, Johar Town, Lahore",03099948830
370,Lahore,Health Zone Lab,"54-Naseerabad Stop Near Ferozpur Road, Lahore",0300-9465029
371,Lahore,Healthy Bridge Laboratory,"194/E, Ghazi Road Near Bhatta Chowk, Lahore",03219461685
372,Lahore,Hepatits Reference Cam Public Health Lab And Research Center,"Lab And Survellance Complex, 3rd Floor,1-Birdwood Road, Lahore",03214099787
373,Lahore,"Hi Vision Lab, Faisal Town, Lahore","532/A, Opp Jinnah Hospital, Faisal Town, Lahore",0300-4237012
374,Lahore,Histopathology Associates Lab,"814-C, Faisal Town, Near Akbar Chowk, Lahore",
375,Lahore,"Hormone Lab, Lahore.","561-A Faisal Town Near Jinnah Hospital, Lahore",0333-4871017
376,Lahore,"Hoss Diagnostics, PIA Society, Lahore","39-B-1, 1st Floor, Main Boulevard, PIA Society, Lahore",0332-4338808
377,Lahore,"Hum Labs, Faisal Town, Lahore","H No 151-A, HBFC, Faisal Town, Opp Jinnah Hospital, Lahore",03028459678
378,Lahore,"Human Care Laboratories, Allama Iqbal Town, Lahore","261 Huma Block Allama Iqbal Town, Lahore",0321-4716414
379,Lahore,Huzafa Laboratory,"Mohallah Toheedabad Main Shakar Gardian Bazar, Ravi Road, Lahore",03344248576
380,Lahore,"Hygenic Laboratory, 247- 4-DII, Green Town, Lahore","247- 4-DII, Green Town, Nishtar Town, Lahore",0302-4576694
381,Lahore,Ibn-e-Sina Clinical Lab,"259-B, GECHS Phase 3-B Link Road, Lahore",0304-8162004
382,Lahore,"Ibrahim Lab, Main Market Gulberg, Lahore","22-E Main Market Gulberg, Lahore",0300-8455964
383,Lahore,Ideal Laboratory,"Shop No 131 Shah The Khoee Dhanna Singh, Lahore",
384,Lahore,I-Karim Lab and Diagnostic Center,"21-A Block Gulshan e Ravi, Lahore",0333-4747510
385,Lahore,Indus Clinical Laboratories,"99A Shadman-1, Lahore",0320-6427091
386,Lahore,Indus Clinical Laboratories (Satellite Lab) Ammar Medical Complex,"8-Jail Road, Main Gulberg, Lahore",0333-4284991
387,Lahore,Indus Clinical Laboratories Latif Hospital Satellite Lab,"408-409, E-Block, Johar Town, Lahore",0300-8427616
388,Lahore,Infinity Diagnostic Center,"81-R/1 Johar Town, Lahore",0321-1110516
389,Lahore,Infinity Healthcare Lab,"71-Jail Road, Lahore",03004330196
390,Lahore,Inmol Lab & Imaging Centre,"Shop No.07, 156-A, Faisal Town, Opposite Jinnah Hospital, Lahore",03332632384
391,Lahore,Innova Lab,"54-55 Khayaban-e-Firdousi Block A Phase 1 Johar Town, Lahore",0321-8634557
392,Lahore,"Innova labs And Diagnostics,",882-C Faisal Town Lahore,0
393,Lahore,Iqraa Lab,"8-A, First Floor Moulana Shaukat Ali Road, Johar Town, Lahore",
394,Lahore,Islamabad Diagnostic Center,"Ever Care Hospital D-Block, Nespak Housing Soceity, Lahore",0321-5111169
395,Lahore,Islamabad Diagnostic Center (Pvt) Ltd,"Plot No 4-A/1 Shadman II, Jail Road, Lahore",0309-8888024
396,Lahore,Islamabad Diagnostic Centre,"Allama Iqbal International Airpot, Lahore",
397,Lahore,K S Lab,15.A Street No.15 Cavalry Ground EXT Lahore,0300-4303936
398,Lahore,Khan Lab & Diagnostic Center,"1st Floor, 138-Shadman-II, Jail Road, Lahore",03206025373
399,Lahore,Lab Corp Diagnostic Centre,"746-C, Qazi M. Issa Road, Faisal Town, Lahore",03224143730
400,Lahore,Lab First Diagnostic & Clinical Lab,"Hajira Medical Complex,2-B-I PGECHS Collage Road,Lahore",0323-4223325
401,Lahore,Lab Genetix,"G-3, Al Hafeez Business Centre, 89-B/III, Gulburg III, Lahore",0300-8500577
402,Lahore,Lab one Life line Hospital,"Life Line Hospital, 462/63 G-3 Near Khokhar Chowk, M.A Johar Town, Lahore",0300-8456591
403,Lahore,"Labex Diagnostic Lab, Kot Lakhpat, Lahore","Opp Qabrastan Akber Shaheed Road Kot Lakhpat, Lahore",
404,Lahore,Laboratory Company of Pakistan (LabPk),"2-A, G-Block, Johar Town, Lahore",0300-6116767
405,Lahore,Labtech,"943-B, Molana Shoukat Ali Road, Lahore",0323-5550222
406,Lahore,Lahore Diagnostic Center,"8-A Johar Town, Lahore",0300-8464049
407,Lahore,Lahore Diagnostic Center,"117-G Street No 1 Block G, Johar Town, Lahore",
408,Lahore,Lahore Diagnostic Centre,"1st Floor 87-A2 Block Johar Town, Lahore",0300-6474535
409,Lahore,"Lahore Diagnostic Centre, Iqbal Town Lahore",299- Jehanzaib Block Iqbal Town Lahore,0323-8834305
410,Lahore,Lahore Diagnostic Laboratory,"Dilshad Street Mint Stop, Shalimar G T Road, Lahore",0322-4740244
411,Lahore,"Lahore Health Care Lab, Faisal Town, Lahore","524- Molana Shaukat Ali Road, Faisal Town, Lahore",
412,Lahore,"Lahore HI- Care Diagnostic, Lahore","Shop no 3 opp OPD Gate, Jinnah Hospital, Lahore",0322-4035157
413,Lahore,"Lahore Hi Tech Diagnostic Centre, Raiwind Road, Lahore","House No.16-B, Main Sher Shah Colony, Raiwind Road, Lahore",0320-4139710
414,Lahore,"Lahore Lab Care, Wahdat Road, Lahore","Shop No.12-A Mian Shopping Centre 9-A Wahdat Road, Lahore",0300-4424974
415,Lahore,"Lahore Medical Lab & Diagnostic Center,","87 lower Ground Block A2, Johar Town Lahore",03214208056
416,Lahore,Lahore Medical Laboratories & Research Center,"New Jail Road, Near Jamia Masjid, Madina Ahl-e-Hadees, Chungi Amer Sidhu, Lahore",
417,Lahore,Lahore PCR Lab,"58 Umar Din Road Main Wasan Pura Near Cakes & Bakes Shad Bagh, Lahore",
418,Lahore,"Life Care Diagnostic Lab, Nishtar Colony, Lahore","520 Bilal Block Nishtar Colony, Lahore",0303-4392572
419,Lahore,Life Line Lab & Imaging Centre,"150/151 HBFC Faisal Town, Opposite Jinnah Hospital, Lahore",0324-3000039
420,Lahore,"Life Line Laboratories & Diagnostic Centre, Lahore",12-Shadman II Opp P.I.C Hospital Jail Road Lahore,
421,Lahore,Life Tech Diagnostic Center,"92 Ravi Road Timber Market, Lahore",
422,Lahore,Life Zone Diagnostic & Research Laboratory,"68 Kashmir Block, Allama Iqbal Town, Lahore",03327675225
423,Lahore,Life Zone Lab,"LDA-215, Mohalla Data Nagar, Badami Bagh, Lahore",03349823455
424,Lahore,Livartes Pathology Lab,"575-A, Faisal Town, Near Jinnah Hospital, Lahore",
425,Lahore,"Madina Lab, Hospital Road Manga Mandi, Lahore","Hospital Road Manga Mandi, Lahore",0300-4264271
426,Lahore,Mansoor Diagnostic Lab,"Safan Wala Chowk, Mozzang Road, Lahore",03317953310
427,Lahore,Maryam Diagnostic Centre,"7-B Shadman-II, Behind City 42 Near Punjab Institute Of Cardialogy Hospital, Data Ganj Buksh Town, Lahore",03349823455
428,Lahore,MED ONE LAB,24 Kamran Block Iqbal Town Lahore,03225013120
429,Lahore,"Medi Cure Laboratories,","Street No.06, House No.1-B, Mohallah Hajipura, Salamat Pura, lahore.",03444251171
430,Lahore,Medi Tech Diagnostic Laboratory,"Main Canal Road, Basement Bank Al Habib, Lahore",0331-4192564
431,Lahore,Medi X-Ray Centre,"154, Allama Iqbal Road, Mustafa Abad, Town Aziz Bhatti, Lahore",0300-4368965
432,Lahore,"Medical Diagnostic Laboratory, Model Town, Lahore","20-L Model Town, Lahore",0300-2127588
433,Lahore,"Medical Screening Facility Punjab Food Authority, Wahdat Road, Lahore","84-C, New Muslim Town, Wahdat Road, Lahore",
434,Lahore,Medics Lahore Labs,"Bhatta Chowk Bedian Road, Near Amber Hospital Lahore Cantt.",
435,Lahore,"Meditest Lab, Jail Road, Lahore","73 Jail Road Taj Arcade, Lahore",0333-4981981
436,Lahore,"Medix Lab, Islampura, Lahore","1-Chohan Road, Akhri Bus Stop, Islampura, Lahore",0322-8612126
437,Lahore,Meezan Laboratory & Diagnostic Centre,"Shop No. 1, Mughal Market, General Hospital, Lahore",0333-4473921
438,Lahore,Meezan Medical Laboratory,"Main Ghoray Shah Chowk Near Liaqat Book Depo, Lahore",
439,Lahore,Mega Test Lab,"516-A, Faisal Town,Opposite Jinnah Hospital, Lahore",0323-4346018
440,Lahore,Metro City Lab,"41 Peco Road,Near Pindi Stop, Lahore",0347-1000070
441,Lahore,Mian Diagnostic Centre,"Karal Bazar aik Minar Wali Masjid Shalimar Town, Wagha Town, Lahore",03354874499
442,Lahore,"Minhaj Welfare Diagnostic Centre, Shalimar Link Road, Lahore","71-Basement Shabnum Centre, Shalimar Link Road, Lahore",
443,Lahore,Model Lab & Diagnostic Center,"Near LGH Ferozepur Road, Nishtar Town, Lahore",0321-9461765
444,Lahore,Molecular Medical Diagnostic Lab,Main Soling Road Opp Sobedar Colony Ghaziabad Lahore Cantt,
445,Lahore,Molecular Medical Diagnostic Lab,"Main Apartment, f-4 Near Good Luck Bakery, Hussnain Street, Wahdat Road, Lahore",03094411506
446,Lahore,Mughal Diagnostic & Research Lab,"Bhatta Chowk, N Yaqoob Electric Ghazi Road, Opposite Health Bridge Hospital",
447,Lahore,Mughal Diagnostic & Research Stat Lab,"Inside Cancer Care Hospital, 1.5 KM Off Pajian Chowk, Ijtama Road Bypass Rohi Nala Raiwind, Lahore",03414256960
448,Lahore,Multi Test Laboratory,"Shop No.224,Firdous Park,Near Must Iqbal Road,Opposite Lahore Gernal Hospital Ferozepur Road, Lahore",0313-4241413
449,Lahore,My Test Lab,"746-Kashmir Block, Allama Iqbal Town, Lahore",03157121947
450,Lahore,"National Diagnostic Centre, Johar Town, Lahore","House No.409 Block-G-4 Ma, Jouhar Town, Lahore",0300-4336058
451,Lahore,National Lab & Diagnostic Centre,"24km Main Ferozpur Road Near Gourmet Bakery Kahna Nau, Lahore",0321-5529335
452,Lahore,"New Finical Laboratory, Shalamar Town, Lahore","New Finecal Lab 18 Dilshad St. Shalamar Town, Lahore",0333-4383292
453,Lahore,Noor Biomed Laboratory,"24 Raheem Manzil Allama Iqbal Road, Near Railway Cairan Hospital, Lahore",0309-6755712
454,Lahore,"Noor Diagnostic Lab, Gulberg, Lahore","814-G, Q Block Flats Model Town, Gulberg, Lahore",0333-4327485
455,Lahore,North Star Medical Diagnostic,"13-L Model Town, Lahore",
456,Lahore,Nxgen Labs,"2-KM,defence Road,Off Road,Lahore",03008634819
457,Lahore,Oman Diagnostic Centre,"26-K Johar Town, Lahore",0300-5009398
458,Lahore,Oreem Diagnostic Lab & Research Center,"Building No 681, Shadman-1 Opposite Fatima Memorial Hospital, Lahore",0300-8610850
459,Lahore,Pak Lab & Diagnostic Centre,"Office No.G-50, Hussain Complex, Nishtar Colony, Ferozepur Road, Nishtar Town, Lahore",
460,Lahore,"Paramount Medical Clinic, Usama Block Gardan Town, Lahore",74/5 Usama Block Gardan Town District Lahore,0301-8435522
461,Lahore,Pathology Lab CMH Lahore Medical College,"Lahore Cantt, Lahore",03004485103
462,Lahore,PHC Diagnostics (Private) Limited,"Plot No.85, Block R-1, Johar Town, Lahore",03157121947
463,Lahore,Pioneer Lab,"513-A, Faisal Town, Lahore",0300-4265177
464,Lahore,Plasma Lab,"Canal Bank Road, Tajpura Scheme, Lahore",0334-2623470
465,Lahore,Plasma Lab & Reaserch Centre,"443-N-Pounch road,Opposite Hot Chilli Restaurent,samanabad,Lahore",
466,Lahore,Pride Lab,"Chohan Clinic Opposite Lahore College for Women Jail Road, Lahore",0334-9965870
467,Lahore,Prime Clinical Lab,"Near Attock Petrol Pump, Main Rajan Road, Toba Tek Singh",0311-4555088
468,Lahore,Professional Diagnostic Center,"Outlet No 23 Askari Commercial Market, Sarfraz Rafiqui Road, Lahore Cantt",0321-8463040
469,Lahore,Provincial Reference Lab,"TB BSL-3 Lab, Lab & Surveillance complex, Primary & Secondary Health care department, 1-Birdwoodÿroad,ÿLahore",03324727369
470,Lahore,Punjab Diagnostic Laboratory & Clinical Research Centre,"Abdali Road Abdali Chowk Opposite Butt Sweet Islam Pura, Data Gunj Buksh, Lahore",
471,Lahore,"Qaisar Diagnostic Centre, Lahore","59-A Jalal Centre Muzang Road, Lahore",
472,Lahore,Qazi Clinical Lab,"17-A Shalamar Link Road, Lahore",0300-8081121
473,Lahore,"Quality Care Lab, Main Ferozpur Road, Lahore","369 Near Gourmet Bakers Naseerabad Main Ferozpur Road, Lahore",0321-7825489
474,Lahore,Quality Care Laboratory,"Nadeem Shaheed Road Samanabad, Lahore",03314140621
475,Lahore,"Quest Medical Centre, Garden Town, Lahore","13-13 A, Aibak Block Garden Town, Lahore",03235315347
476,Lahore,Rahila Research & Reference Lab,"15-A Queens Road, Near Ganga Ram Hospital, Lahore",0321-9431788
477,Lahore,"Rahila Research Lab, Shadman, Lahore","8-B, Shadman, II Behind Omer Hospital, Jail Road, Lahore",0322-9007700
478,Lahore,Randex Diagnostic Lab & Research Centre,"Shareef Garden Pepsi Street Nayab Park, GT Road, Salamat Pura, Shalimar, Cantt, Lahore",03344276660
479,Lahore,Rayyan Lab,"1183-1-D2 Green Town, Bagrian Chowk, Lahore",0321-9409941
480,Lahore,Real Basic Diagnostic Lab,"Chandni Chowk, Wandala Road, Shahdara, Lahore",0321-4259005
481,Lahore,"Rehman Diagnostic & Research Center, Old Muslim Town, Lahore","15-Noon Avenue, Ilyas Street, Old Muslim Town, Lahore",0321-9474281
482,Lahore,Rehman Medical Diagnostic Centre,"719 Kamran Block, Allama Iqbal Town, Lahore",
483,Lahore,Rescue Lab & Diagnostic Centre,"Sadar Cantt Near Sadar Round About VIP Store, Lahore",03006161155
484,Lahore,Ridan Diagnostic Canter,"16-N Johar Town, Lahore",0322-8095143
485,Lahore,Rimsha Lab,"Nadrabad No 2, Bedian Road, Lahore",0300-4140262
486,Lahore,Royal Medical Lab,"806/F, Ravi Block, Allama Iqbal Town, Lahore",03124852700
