No.,,,,,
,District,HCE Name,Address,Sector,
110,Lahore,Noor Hospital,"18-M Ferozpur Road Opposite Descon Head Office, Lahore",Private,
111,Lahore,National Hospital & Medical Centre,"132/3 L Block Near Sports Stadium DHA, Lahore",Private,
112,Lahore,Naseer Hospital,"16 Ahmed Block New Garden Town, Lahore",Private,
113,Lahore,Naseem Ijaz Memorial Hospital,"Near Avian Chowk NBP Colony Nadeem Shaheed Road Allama Iqbal Town, Lahore",Private,
114,Lahore,Mukhtiar Munir Hospital,"993-H Block, Sabzazar Scheme, Multan Road, Lahore",Private,
115,Lahore,Muhammad Shahbaz Sharif Hospital,"Lidher Bedian Road, Lahore",Public,
116,Lahore,Mid City Hospital,"3-A Shadman-II Jail Road, Lahore",Private,
117,Lahore,MedEast Healthcare,"C-1 Office Block Commercial, Paragon City, Lahore",Private,
118,Lahore,Masood Hospital,"99 Garden Block Garden Town, Lahore",Private,
119,Lahore,Manawan Hospital,"G.T Road Wagha Town, Lahore",Public,
120,Lahore,Life Line Hospital,"462-463 G-III, MA Johar Town, Lahore",Private,
121,Lahore,Life Hospital,"Canal Road, Near Main Gate Bahria town, Lahore",Private,
122,Lahore,Lahore Mental Health Association (Fountain House),"37 - Lower Mall, Lahore",Private,
123,Lahore,Lahore General Hospital,"Ferozepur Road, Lahore",Public,
124,Lahore,Lahore Care Hospital,"E-387/2 Ghazi Road Stop Main Ferozpur Road, Lahore",Private,
125,Lahore,Laforma Medical Center,"41-B Johar Town, Lahore",Private,
126,Lahore,Khairun Nisa Hospital,"17-A Civic Centre C Block Faisal Town, Lahore",Private,
127,Lahore,Kazi Hospital,"21-Temple Road, Lahore",Private,
128,Lahore,Jinnah Hospital,"Maulana Shaukat Ali Road, Lahore",Public,
129,Lahore,Jinnah Burn & Reconstructive Surgery Centre,"Allama Iqbal Medical College, Maulana Shaukat Ali Road, Lahore",Public,
130,Lahore,Ittefaq Hospital (Trust),"Near H-Block, Model Town, Lahore",Private,
131,Lahore,Iqra Medical Complex,"3,4-5 A Johar Town, Lahore",Private,
132,Lahore,Integrated Medical Care Hospital,"153/1, Street No 06, Block F, Phase 5, DHA, Lahore",Private,
133,Lahore,Institute of Nuclear Medicine and Oncology (INMOL) Hospital,"Near Sheikh Zaid Hospital Wahdat Road, Lahore",Public,
134,Lahore,"Indus Hospital QF, NST & SMP Campus","Jubilee Town, Lahore",Private,
135,Lahore,Ihsan Mumtaz Hospital,"Maulana Shaukat Ali Road, Lahore",Private,
136,Lahore,Hussain Memorial Hospital,"105, Multan Road, Lahore",Private,
137,Lahore,Horizon Hospital,"403,404,436 Block D-II M.A Johar Town, Lahore",Private,
138,Lahore,Hijaz Hospital,"27/D-1 Sir Syed Road Gulberg-III, Lahore",Private,
139,Lahore,Hayat Memorial Teaching Hospital,"1 KM, Off Defence Road Bhubtian Chowk Raiwind Road, Lahore",Private,
140,Lahore,Hamza Hospital,"21-Shama Road, Rasool Park, Ichra, Lahore",Private,
141,Lahore,Hameed Latif Hospital,"3/2 Zafarullah Khan Road Misri Shah, Lahore",Private,
142,Lahore,Hameed Latif Hospital,"14-Abubakar Block, New Garden Town, Lahore",Private,
143,Lahore,Gulab Devi Hospital,"Ferozepur Road, Lahore",Private,
144,Lahore,"Govt. Said Mitha Teaching Hospital,","Said Mitha Bazar, Lahore",Public,
