,,,,
Sr. No.,District,HCE Name,Address,Contact#
457,Lahore,Mian Diagnostic Centre,"Karal Bazar aik Minar Wali Masjid Shalimar Town, Wagha Town, Lahore",3354874499
458,Lahore,"Minhaj Welfare Diagnostic Centre, Shalimar Link Road, Lahore","71-Basement Shabnum Centre, Shalimar Link Road, Lahore",ÿ
459,Lahore,Model Lab & Diagnostic Center,"Near LGH Ferozepur Road, Nishtar Town, Lahore",0321-9461765
460,Lahore,Molecular Medical Diagnostic Lab,Main Soling Road Opp Sobedar Colony Ghaziabad Lahore Cantt,3006161155
461,Lahore,Molecular Medical Diagnostic Lab,"Main Apartment, f-4 Near Good Luck Bakery, Hussnain Street, Wahdat Road, Lahore",3094411506
462,Lahore,Mughal Diagnostic & Research Lab,"Bhatta Chowk, N Yaqoob Electric Ghazi Road, Opposite Health Bridge Hospital",ÿ
463,Lahore,Mughal Diagnostic & Research Stat Lab,"Inside Cancer Care Hospital, 1.5 KM Off Pajian Chowk, Ijtama Road Bypass Rohi Nala Raiwind, Lahore",3216203992
464,Lahore,Muhammadi Diagnostic Center,"410-3-C1, Near Umar Chowk Township, Lahore",3114607861
465,Lahore,Multi Test Laboratory,"Shop No.224,Firdous Park,Near Must Iqbal Road,Opposite Lahore Gernal Hospital Ferozepur Road, Lahore",0313-4241413
466,Lahore,My Test Lab,"746-Kashmir Block, Allama Iqbal Town, Lahore",3157121947
467,Lahore,"National Diagnostic Centre, Johar Town, Lahore","House No.409 Block-G-4 Ma, Jouhar Town, Lahore",0300-4336058
468,Lahore,National Lab & Diagnostic Centre,"24km Main Ferozpur Road Near Gourmet Bakery Kahna Nau, Lahore",0321-5529335
469,Lahore,Neo Genomics Lab,"134-A, GOR-5,Faisal Town,Lahore",0300-4188619
470,Lahore,"New Finical Laboratory, Shalamar Town, Lahore","New Finecal Lab 18 Dilshad St. Shalamar Town, Lahore",0333-4383292
471,Lahore,Noor Biomed Laboratory,"24 Raheem Manzil Allama Iqbal Road, Near Railway Cairan Hospital, Lahore",ÿ
472,Lahore,"Noor Diagnostic Lab, Gulberg, Lahore","814-G, Q Block Flats Model Town, Gulberg, Lahore",0333-4327485
473,Lahore,North Star Medical Diagnostic,"13-L Model Town, Lahore",ÿ
474,Lahore,Nxgen Labs,"2-KM,defence Road,Off Road,Lahore",3008634819
475,Lahore,Oman Diagnostic Centre,"26-K Johar Town, Lahore",0300-5009398
476,Lahore,OMAR CLINICAL LAB,"Opposite THQ Hospital Raiwind,Lahore",3352269810
477,Lahore,Oreem Diagnostic Lab & Research Center,"Building No 681, Shadman-1 Opposite Fatima Memorial Hospital, Lahore",0300-8610850
478,Lahore,Pak Lab & Diagnostic Centre,"Office No.G-50, Hussain Complex, Nishtar Colony, Ferozepur Road, Nishtar Town, Lahore",ÿ
479,Lahore,"Paramount Medical Clinic, Usama Block Gardan Town, Lahore",74/5 Usama Block Gardan Town District Lahore,0301-8435522
480,Lahore,PHC Diagnostics (Private) Limited,"Plot No.85, Block R-1, Johar Town, Lahore",3157121947
481,Lahore,Pioneer Lab,"513-A, Faisal Town, Lahore",0300-4265177
482,Lahore,Plasma Lab,"Canal Bank Road, Tajpura Scheme, Lahore",0334-2623470
483,Lahore,Plasma Lab & Reaserch Centre,"443-N-Pounch road,Opposite Hot Chilli Restaurent,samanabad,Lahore",ÿ
484,Lahore,Pride Lab,"Chohan Clinic Opposite Lahore College for Women Jail Road, Lahore",0334-9965870
485,Lahore,Prime Clinical Lab,"Near Attock Petrol Pump, Main Rajan Road, Toba Tek Singh",0311-4555088
486,Lahore,Professional Diagnostic Center,"Outlet No 23 Askari Commercial Market, Sarfraz Rafiqui Road, Lahore Cantt",0321-8463040
487,Lahore,Provincial Reference Lab,"TB BSL-3 Lab, Lab & Surveillance complex, Primary & Secondary Health care department, 1-Birdwoodÿroad,ÿLahore",3324727369
488,Lahore,Punjab Diagnostic Laboratory & Clinical Research Centre,"Abdali Road Abdali Chowk Opposite Butt Sweet Islam Pura, Data Gunj Buksh, Lahore",ÿ
489,Lahore,"Qaisar Diagnostic Centre, Lahore","59-A Jalal Centre Muzang Road, Lahore",ÿ
490,Lahore,"Quality Care Lab, Main Ferozpur Road, Lahore","369 Near Gourmet Bakers Naseerabad Main Ferozpur Road, Lahore",0321-7825489
491,Lahore,Quality Care Laboratory,"Nadeem Shaheed Road Samanabad, Lahore",3314140621
492,Lahore,"Quest Medical Centre, Garden Town, Lahore","13-13 A, Aibak Block Garden Town, Lahore",3235315347
493,Lahore,Rahila Research & Reference Lab,"15-A Queens Road, Near Ganga Ram Hospital, Lahore",0321-9431788
494,Lahore,"Rahila Research Lab, Shadman, Lahore","8-B, Shadman, II Behind Omer Hospital, Jail Road, Lahore",0322-9007700
495,Lahore,Raj Laboratories,"Sunder Road Raiwind, Lahore",3353772342
496,Lahore,Randex Diagnostic Lab & Research Centre,"Shareef Garden Pepsi Street Nayab Park, GT Road, Salamat Pura, Shalimar, Cantt, Lahore",3344276660
497,Lahore,Rayyan Lab,"1183-1-D2 Green Town, Bagrian Chowk, Lahore",0321-9409941
498,Lahore,Real Basic Diagnostic Lab,"Chandni Chowk, Wandala Road, Shahdara, Lahore",0321-4259005
499,Lahore,"Rehman Diagnostic & Research Center, Old Muslim Town, Lahore","15-Noon Avenue, Ilyas Street, Old Muslim Town, Lahore",0321-9474281
500,Lahore,Rehman Medical Diagnostic Centre,"719 Kamran Block, Allama Iqbal Town, Lahore",ÿ
501,Lahore,Rescue Lab & Diagnostic Centre,"Sadar Cantt Near Sadar Round About VIP Store, Lahore",3006161155
502,Lahore,Ridan Diagnostic Canter,"16-N Johar Town, Lahore",0322-8095143
503,Lahore,Rimsha Lab,"Nadrabad No 2, Bedian Road, Lahore",0300-4140262
504,Lahore,Royal Medical Lab,"806/F, Ravi Block, Allama Iqbal Town, Lahore",3124852700
505,Lahore,SA Chughtai Lab,"Opposite Faran Hospital Abdali Road Islampura, Sanda, Lahore",3008864230
506,Lahore,Saboor Medical & Diagnostic Center,"138-Shadman II, Jail Road, Lahore",0321-4758236
507,Lahore,"Sachal Laboratory & Research Center, Johar Town, Lahore","Wahid Hospital, 317,376, Ammar, Nishtar colony Lahore",3324752537
508,Lahore,Salman Chughtai's Lab,"154-A, HBFC, Opposite Jinnah Hospital, District Lahore",0322-8441899
509,Lahore,Saman Chughati Lab,"855-N Poonch Road, Samanabad Lahore",0311-1579589
510,Lahore,Samar Diagnostic Center,"Opp Govt Hospital Kot Khawaja Saeed, Shadbagh, Lahore",0333-4229468
511,Lahore,Services Lab,"903-C, Block, Faisal Town, Lahore",30094960764
512,Lahore,Shifa Lab,"790-N, Poonch Road, Samanabad, Lahore",32340345200
513,Lahore,"Shifa Laboratory, Lahore",61- Nisbat Road Chowk Mayo Hospital Lahore,0300-4141392
514,Lahore,"Sial Diagnostic Centre (SDC), Faisal Town Lahore","522-A, Faisal Town Lahore",0345-6669909
515,Lahore,Signix Lab,"88-A New Muslim Town,Lahore",0301-4228376
516,Lahore,Sublime Laboratory,"17-KM Main Ferozepur Road Attari Darbar, Opposite Pak Arab Housing Society, Gulberg Town, Lahore",3469998686
517,Lahore,Sundas Diagnostic Lab,"880-Shadman-1,Lahore",3324816843
518,Lahore,Superior Lahore Lab,"Shop No 154-A, Faisal Town, Opp Jinnah Hospital, Lahore",0335-8620383
519,Lahore,Taha Lab,"Al-Ghani Market Near Allied Bank Taj Pura Scheme, Butt Chowk, Lahore Cantt, Lahore",3336466551
520,Lahore,"Taj Medical Travellers Clinic, Lahore","25-Civic Centre, Behind Sunday Bazar Park, Near Mian Plaza, Johar Town, Lahore",0321-2555001
521,Lahore,"Taqwa Medical Diagnostic Center, 1-Raza Block Wahdat Road, Lahore","1-Raza Block Wahdat Road, Lahore",ÿ
522,Lahore,Tariq Diagnostic Centre,"Opposite Lahore General Hospital, Lahore",0300-4012476
523,Lahore,Tauheed Lab and Diagnostic Centre,"Boy Scout Stop, Walton Road, Lahore",0333-4223688
524,Lahore,"Test Care Lab, Faisal Town Lahore","608-A Maulana Shoukat Ali Road, Opp. Johar Event Complex, Faisal Town, Lahore",0332-8472524
525,Lahore,"Test Zone Diagnostic Centre, Faisal Town Lahore","133-A, Faisal Town, Opposite Allama Iqbal Medical College, Gate No. 2, Lahore",0308-4169123
526,Lahore,Test Zone Rapid PCR Stat Lab,"Allama Iqbal International Airport, Lahore",3234449593
527,Lahore,Testvision Medical Laboratory,"Ewan e Tijarat Road, Near Quaid e Azam College, Shadman Chowk, Lahore",0333-4291710
528,Lahore,The Doctors Lab,"Main Feroz Pur Road Near Lahore General Hospital, Ferozepur Road, Lahore",3332632384
529,Lahore,The Global Medi Lab,"697-Umar Block, Allama Iqbal Town, Lahore",ÿ
530,Lahore,The Life Care Laboratory,"Alim Khatoon Medicare, 362-6-C-2, Green Town, Lahore",ÿ
531,Lahore,The Medical Laboratories,"36 Lawrence Road, Lahore",0321-4161730
532,Lahore,The Medical Laboratory Zeenat Lab And Diagnostic,"16-Fatima Jinnah Road Opposite Ganga Ram Emergency Hospital, Lahore",3004380980
533,Lahore,The Medical Practice,"165-A, Ali Block, Garden Town, Lahore",0322-8046921
534,Lahore,The Punjab Lab,"538-3-C-II, Azmat Chowk Green Town, Lahore",0300-8443469
535,Lahore,"UK Chughtai Lab, Samanabad Lahore","Plot No. 783, Block N, Opp. Malmo Bakers, Main Poonch Road, Samanabad, Lahore",0301-8415678
536,Lahore,Umer Air Line Lab,"192-Airline Society Near UCP University, Lahore",3246283637
537,Lahore,"Uni Tech Diagnostic Centre, Bedian Road, Lahore","Imran Raza Plaza, Nadirabad, Bedian Road, Lahore",0300-9419925
538,Lahore,Unique Lahore Lab,"1st Floor United Building Itehad Colony 6-R Multan Road, Lahore",0300-5599512
539,Lahore,US Chughtais Lab,"856-N Poonch Road Samanabad, Lahore",0300-4093093
540,Lahore,"Virtual Lab, New Garden Town, Lahore","575-A Faisal Town, 54770-Lahore, Punjab, Pakistan",ÿ
541,Lahore,Vital Molecular Diagnostic & Research Lab,"02-Noon Avenue Elyas Colony Main Canal Road Old Muslim Town, Lahore",3366665880
542,Lahore,Vock Health Lab,"711 Shadman 1, Opposite Al Noor Diagnostic, Opposite Fatima Memorial Hospital, Lahore",ÿ
543,Lahore,VRC Molecular Diagnostic Research Lab,"244,Main Market Rewaz Garden,Lahore",ÿ
544,Lahore,Wafi Medical Clinic,"70-C Main Wahadat Road,Muslim Town,Lahore",0301-8419419
545,Lahore,"Wahab Lab, Islampura, Lahore","10 Ansari Road, Islampura, Lahore",0321-7159876
546,Lahore,Zain Lab,"Shama Road Near Hamza Hospital Rasool Park, Ichhra, Lahore",3064619159
547,Lahore,Zee Lab And Diagnostics,"Ideal Garden Main Ferozepur Road, Lahore",3334168904
548,Lahore,Zeenat Lab & Diagnostic Centre,Near Roundabout VIP Signal Zarar Shaheed Road Saddar Cannt Lahore,3469998686
549,Lahore,"Zinis Laboratory, Allama Iqbal Town, Lahore","8 Gulshan Block Allama Iqbal Town, Lahore",0333-4319705
550,Layyah,Al Falah Medical Lab,Opposite DHQ Near Kazmi Pharmacy Layyah,0333-8912888
551,Layyah,"Al Khidmat Diagnostic Centre, Link Road, Layyah","Link Road, Layyah",ÿ
552,Layyah,"Arooj Tahir Laboratory, Opposite DHQ Hospital, Layyah","Opposite DHQ Hospital, Layyah",3337206132
553,Layyah,City Clinical Lab,"Tounsa Shareef ,Dist. DG Khan",0333-7206132
554,Layyah,Nishter Clinical Laboratory,"Opp DHQ Hospital, Layyah",0333-8910854
555,Layyah,Rifah Laboratories Railway Road Karoor lal Eason layyah,"Fatehpur Road, Karoor Lal Easan, Layyah",0300-8761477
556,Lodhran,Al Khidmat Clinical Laboratory,"Opposite Old DHQ Family Hospital Near Masjid Khawaja Factory, Lodhran",0308-4247424
557,Lodhran,Al Shaafi Clinical Diagnostic Laboratory & PCR Center,"Opposite Family Hospital, (Old DHQ) Near Qasim Hotel, Bahawalpur Multan Road, Lodhran City.",0314-6400033
558,Mandi Bahauddin,Al Ghani Laboratory,"Al Ghani Hospital Opposite City Hospital,Mandi Bahaudin",3338007112
559,Mandi Bahauddin,Al-Fajar Lab & Diagnostic Centre,"Sikandar Plaza Opposite DHQ Hospital Murala Road, Mandi Bahauddin",3370412248
560,Mandi Bahauddin,Khawaja Diagnostics,"Mehboob Plaza Opposite Dewan Cable TV Network, Near Dewan Mushtaq Chowk, Ward # 5, Mandi Bahau Din",0333-6869496
561,Mandi Bahauddin,Makhdoom Diagnostic Centre,"Ali Imran Waseer Plaza Phalia Road Opposite Masjid Al-Farooq, Mandi Bahauddin",ÿ
562,Mandi Bahauddin,Pakistan laboratory,"Opposite Civil Hospital, Old Thana Road, Ward # 5, Mandi Bahau Din",0322-3101122
563,Mandi Bahauddin,Pakistan Laboratory,"Opposite DHQ Hospital Murala Road, Mandi Bahauddin",3332757574
564,Mandi Bahauddin,"Sultan Lab, Thana Road, Mandi Bahauddin",Al Shifa Hospital Thana Road Mandi Bahauddin,0321-7754449
565,Mianwali,Al Qaim Clinical Labs,"Gullen Khel, Iskandarabad Road, District Mianwali",0331-5131799
566,Mianwali,Care Laboratories (Stat Lab),"KMK Mall, Mianwali",3439051652
567,Mianwali,"City Lab, Gulberg Chowk, Mianwali","Gulberg Chowk, Mianwali",0333-4222388
568,Mianwali,Indus Clinical Laboratory,"Mohalla Farooqabad, Kalabagh, Mianwali",0301-6354330
569,Multan,Afzal Diagnostic Center,"Opposit New Emergency Nisther Road, Multan",0347-7319600
570,Multan,Aga Khan Stat Lab,"Karim Centre Opp National Bank Nishtar Road, Multan",ÿ
571,Multan,"Al Barkat Diagnostic Centre, Shah Rukne Alam Colony, Multan","236-A General Bus Stand S.R.A Colony, Multan",0334-6789122
572,Multan,"Al Habib Diagnostic Centre, Bosan Town, Multan","New Shalimar Colony, Near Mobilink Tower, Bosan Town, Multan",0333-5850555
573,Multan,Al Hadi Diagnostic Center,"Band Road,Samajer Plaza, Bahawalpur",ÿ
574,Multan,"Al Khidmat Diagnostic Centre, I.Sarwar Road Sher Shah Town, Multan","I.Sarwar Road Pul Moj Darya Sher Shah Town, Multan",-
575,Multan,Al-Hamd Clinical Lab,"Near Madni Chowk, Gulshan Market, New Multan, Shah Ruken-e-Alam, Multan",3006303038
576,Multan,Al-Khair Lab,"Opposite Chinab Hospital Chungi No.1, Multan",3336173092
577,Multan,Alpha Laboratory & FNA Clinic,"6 Karim Centre Near National Bank Nishtar Road, Multan",0305-4643661
578,Multan,Ansari Lab,87-Dost Plaza Nisther Road Multan,3346006678
579,Multan,Arfeen Lab and Diagnostic Center,"Shop no 20-21, Mahar Center, Nisther road Multan",0316-6321344
580,Multan,"Ayesha Medical Centre, Shahrukne Alam, Multan","469-C, Shah Rukne Alam Colony, Multan",0321-7200321
581,Multan,Bilal Clinical Laboratories,"Al Ikram Center Near Al Madina Surgical ,Nishtar Road Multan",0333-6071588
582,Multan,Biotech Lab,Dost Plaza Nisther Road Multan,3087385819
583,Multan,Biotech Molecular and Diagnostic Lab,"Shop No 30Lower Ground Khan Medical City Nishtar Road, Multan",0332-5985123
584,Multan,British Lab,Nishter Road Multan,0323-8436181
585,Multan,"Chishti Lab, Nishtar Road, Multan","Nishtar Road, Multan",0300-3204258
586,Multan,"Chughtai Lab, Nishter Road, Multan","Khan Medical City Nishtar Road, Multan",0344-4449673
587,Multan,Citi Lab & Research Centre PCR Stat Lab,"International Airport, Multan",3017854250
588,Multan,"City Care Clinical Lab, Qadirpur, Multan","Near Passport Office, And NBP Qadirpur, Multan",0334-6110757
589,Multan,City Clinical Lab,"Al Makkah Center Basement ,Chungi #14 Multan",0308-5701199
590,Multan,City Clinical Laboratory,"House No 19,Street 2 Block T , New Multan",0336-6712774
591,Multan,Doctors Lab Multan,"Shop No.4, Alam Sher Center, Near Multan MRI, Nishter Road, Multan",0301-7539213
592,Multan,Dr Akbar Niazi Teaching Hospital Lab,Multan International Airport Multan,0333-5384681
593,Multan,"Dr. Thagfan Diagnostic Center,","1/B, Y Block, New Multan, Multan",ÿ
594,Multan,"Escort Diagnostic Centre, Rashidabad Chowk, Multan","Commercial Plaza, Near Papa Gino Pizza Track, Rashidabad Chowk, Multan",0321-4520297
595,Multan,Excel Lab,"Mahar Center, Nishter Road, Multan",0301-7401848
596,Multan,Excel Labs,"Multan International Airport, Multan",3017401848
597,Multan,Exova Lab,"Al-Karim Centre Nishtar Road Near NBP, Multan",ÿ
598,Multan,"Fatima Diagnostic Centre, Khanewal Road, Multan","1051-C Khanewal Road, Near Chowk Rasheedabad, Multan",ÿ
599,Multan,Fatima Jennah Lab,"Chungi No.1 Suraj Miani Road, Multan",0332-6427437
600,Multan,Fatmeen Lab,"Durani Plaza, Nishter Road Multan",0300-3204258
601,Multan,Ghauri Diagnostic Laboratories,"Nisther Road Near Bridge ,Multan",0300-9632941
602,Multan,Ghazi Lab Multan,"Opposite Dost Plaza ,Nisther Road Multan",3335049282
603,Multan,GMC Diagnostic Center,"Opp. Al-Madiv Center, Qazzafi Chowk, Multan",3060956423
604,Multan,"Gulgasht Lab, Jinnah Park Gulgash Colony, Multan",487-C Fatma Jinnah Park Gulgash Colony District Multan,0300-6386717
605,Multan,Health Care Diagnostic Centre,"Hafiz Jamal Road Near Hafiz Jamal Metro Station, Mumtazabad, Multan",3156789560
606,Multan,"Health Care Laboratory, Bosan Road, Multan","268-B, Gulgasht Colony, Bosan Road, Multan",0321-7352414
607,Multan,"Horizon Medical Laboratory, Khanewal Road, Multan","Plot No 335, Khanewal Road, Multan",0300-8633818
608,Multan,Hormone Lab,"Alam Sher Plaza Shop No.08, Nishter Road, Multan",ÿ
609,Multan,IMAN HEALTH CARE LAB,IMAN HEALTH CARE LAB OPPOSITE UTILITY STORE QADIR PUR RAN,3215618234
610,Multan,"Islamabad Diagnostic Centre (pvt)Ltd, Multan","94 Al-kamal Plaza, Opposite Dost Plaza, Near Nishter Hospital, Nishtar Road, Multan",0300-5137123
611,Multan,Kazi Lab,"Dost Plaza, Nishtar Road, Multan",0321-6310089
612,Multan,Khan Clinical Lab,"Treen Hospital, Qasba Manal, Multan",0302-8630119
613,Multan,Khan Lab's,"Kareem Centre, Nishtar Road, Multan",ÿ
614,Multan,Lab Point,"Shop No 5, Dost Plaza, Nishtar Road, Multan",0300-7339059
615,Multan,"Latif Diagnostic Center, Sher Shah Town, Multan","Grass Mandi, Phatak Multan",0333-7388171
616,Multan,Macca Diagnostic,"Suit No.1,Mehar Center, Nishtar Road,Multan",3164633004
617,Multan,Madina Lab,"Shop No.1,2 AAlam Sher Centre, Nishter Road, Multan",ÿ
618,Multan,Madni Care Lab,"Shop No.25, Metro Plaza, Sadar Cantt Multan",ÿ
619,Multan,Madni Welfare Lab,"Durani Plaza ,Nishter road ,Multan",0306-2342820
620,Multan,"Multan City Lab, Nishter Road, Multan","Opposite Emergency Nishter Road, Multan",0334-6789122
621,Multan,Multan City Laboratory,"Al Raheem Colony Kalma Chowk,Bosan Town, Multan",0333-6101344
622,Multan,"Multan Diagnostic Clinic, Ahmad Park, Multan","4 Ahmad Park Khanewal Road, Near Hamza CNG, Mutan",ÿ
623,Multan,Multan Labs & Hematology Clinic,Suraj Miani Road Chungi No 1 Multan,0302-6304488
624,Multan,Multan PCR Lab,"Adjacent Jinnah Hospital, Nishter Road Multan",0300-7335618
625,Multan,Multi Test Lab,"Jail Road Near Girls Hostel Nishtar Medical College, Multan",0300-9638536
626,Multan,"Mushtaq Clinical Lab, Multan","Opp Excise & Taxation Office MDA Chowk, Multan",0300-6321007
627,Multan,Muslim Clinical Lab,"Main Bahawalpur Road, Fazal Model Multan Mumtazabad, District Multan",0332-6028500
628,Multan,National PCR Lab,"Shop No.8,9 Durani Plaza, Nisthar Road, Multan",0333-6118239
629,Multan,Nishat Labs,"Chowk Chungi No.01, Multan",3336173092
630,Multan,"Overseas Diagnostic Center, Bulding No.768-7-A Khanewal Road, Multan","Building No.786-A Khanewal Road Mahmoodabad, Multan",0321-4295856
631,Multan,"Paragon Mecial Centre, Bodha Town Road, Multan","House No 24, Block Z, Bodha Town Road, Near Chowk Kumharan, Multan",ÿ
632,Multan,Poly Lab,"7-8 Al Karim Center Nishtar Road, Multan",ÿ
633,Multan,Punjab Stat Laboratory,"Office 9/10, Second Floor, Dost Plaza, Nisther Road Multan",3006155536
634,Multan,Qasim Laboratory,"Al-Ikram Plaza, Nishter Road Multan",0300-6362852
635,Multan,Rana Lab,1204-B Mumtazabad Colony Near BCG Chowk Multan,0308-5701199
636,Multan,"Rana Lab, Bahawalpur By Pass, Multan","Ali Commercial Plaza Shop No. 69, Bahawalpur Bypass, Multan",0333-6873800
637,Multan,Raza Lab,"Mehroz Plaza Opposite Nishtar Bijli Ghar, Nishtar Road, Multan",0300-6325230
638,Multan,"Real PCR Lab, Multan","Shop no 83, Dost Medical Complex Nisshtar Road Multan",ÿ
639,Multan,"Riyadh Diagnostic Center, Madni Chowk, Multan","Plot No 19, Gulshan Market, Near Madni Chowk, Multan",0300-6340615
640,Multan,"Seven Star Diagnostic Center, Shah Rukne Alam, Multan","236A, Shah Rukne Alam Colony, Multan",0321-4295856
641,Multan,Shahab Laboratory,Kareem Plaza Nishtar Road Multan,ÿ
642,Multan,"Shahab Laboratory, Khanewal Road Multan",Rasheed Abad Chowk Khanewal Road Multan,0333-6071588
643,Multan,Shaukat Khanum Memorial Cancer Hospital & Research Centre Diagnostic Laboratory,"Shop No.37/38, Ground Floor Alam Sher Centre Nishtar Road, Multan",3047184000
644,Multan,South Punjab Lab,"Chungi No. 01 Suraj Miani Road, Multan",0304-1118899
645,Multan,"Taqwa Lab, Nishtar Road, Multan","Opposite Dost Plaza, Nishtar Road, Multan",0304-4163765
646,Multan,Test Zone Rapid PCR Stat Lab,"International Airport, Multan",3028386632
647,Multan,Test Zone Stat Lab,"Dr Robina Plaza Opposite Hospital Emergency Nishtar Hospital Road, Multan",3028386632
648,Multan,UNITED MEDICAL LAB,Cb-63-B United medical lab gol bagh near gulgast colony Multan,3337164456
649,Multan,Waseela Lab & Diagnostics,Zainab Arcade Nishtar Road Multan,3238436181
650,Multan,Well Being Diagnostic Center,"Ground Floor Noor Center, Near Deewoo Terminal, Khanewal Road, Multan",3336190988
651,Multan,"Zartaj Lab, Zainab Arcade, Nishtar Road, Multan","Zartaj Lab, Zainab Arcade, Nishtar Road, Multan",0336-6121201
652,Muzaffargarh,Al Khidmat Laboratory,"Zain Plaza Shop No 9, Kot Addu, Muzaffargarh",3008488154
653,Muzaffargarh,Allied Consultant Lab,"Ali Pur Road, Opp DHQ Hospital Muzaffarghar",0301-6958026
654,Muzaffargarh,"Hashmi Lab, Ali Pur Road Muzaffargarh",Ali Pur Road Opp DHQ Hospital Muzaffargarh,0308-7385819
655,Muzaffargarh,Khan Lab,"Opposite Dhq Hospital emergency gate,alipur road Muzaffargarh",3055494358
656,Muzaffargarh,Laraib Clinical Lab,"Opposite DHQ Hospital, Muzaffargarh",0300-7486744
657,Muzaffargarh,Life Lab,Near Emergency gate DHQ Muzaffargarh,0333-1662616
658,Muzaffargarh,"Moon Lab & Digital X-Ray, Chowk Sarwar Shaheed, Muzaffargarh","Rang Pur Road, Chowk Sarwar Shaheed, Muzaffargarh",0302-4543849
659,Muzaffargarh,Moosa Lab and Diagnostic Centre,"Opposite to Emergency Gate, DHQ, Ali Pur Road, District Muzaffar Garh",0332-6551278
660,Muzaffargarh,"Multan Clinical Lab, Ali Pur, Muzaffargarh","Mehboob Plaza Baldia Road, Near Bus Stand, Ali Pur, Muzaffargarh",0300-6829963
661,Muzaffargarh,Multan PCR Lab MuzafarGarh,Opposite DHQ Hospital MuzafarGarh,0300-7335618
662,Muzaffargarh,Nishtar Clinical Lab.,Opp addy wali Masjid. near qinwan chouk muzaffargarh.,3016958026
663,Muzaffargarh,Umer Clinical lab.,Abbas Plaza,ÿ
664,Nankana Sahib,"A1 Laboratory, Guru Bazar, Nankana Sahib","Guru Bazar, Nankana Sahib",0334-5602003
665,Nankana Sahib,Ali Lab,"Lahore Jaranwala Road Opp Imam Bar Gah, Morr Khunda, Nanana Shaib",0321-7849893
666,Nankana Sahib,Ali Lab,"Umar Hospital Housing Colony, Nankana Sahib",3317679271
667,Nankana Sahib,Anmol Clinical Laboratory,"Lahore Road Morr Khunda, Nankana Sahib",3219696776
668,Nankana Sahib,Fayyaz Clinical Lab,"Guru Bazar, Nankana Sahib",0334-0402884
669,Nankana Sahib,"Gulzar Clinical Lab & Diagnostic Centre, Shahkot, Nankana","Milad Chowk, Shahkot, Nankana",0345-7841998
670,Nankana Sahib,"Nizami Laboratory, Nankana Sahib",Shah Kot Nankana Sahib,0322-6412864
671,Narowal,"Al Azeem lab & X Ray Centre, Darman Road Shakarghar Narowal",Darman Road Shakargarh Narowal,0300-7771700
672,Narowal,Al-Mudassar Lab,"Near Thana Morr, Railway Road Shakar Garh, Narowal",3004609295
673,Narowal,Anmol Medical Laboratory,"Opposite DHQ Hospital Circular Road, Narowal",ÿ
674,Narowal,"Bismillah Clinical Laboratory, Opposite DHQ Hospital, Narowal","Opposite DHQ Hospital, Narowal",3312039403
675,Narowal,National Diagnostic Center,"Near DHQ Hospital, Circular Road, Narowal",0331-7770170
676,Okara,Aisha Diagnostic Lab,"Main Kasur Road,Near Bus Stand,depalpur,Okara",3333952417
677,Okara,Al Noor Diagnostic Laboratory,"Main G T Road Opp Welcome Road,Renala Khurd, Okara",ÿ
678,Okara,Bio Path Clinical Lab,"Near Company Park, Shahzak Shaheed Road, Okara",0333-6975522
679,Okara,Bio Tec Lab,"Stadium Road Near Church Christian Colony, Okara",3332160925
680,Okara,"Ibn-e-Sina Lab, Okara","Near DHQ Hospital, Okara",0303-3195801
681,Okara,Jinnah Clinical Lab,"Tehasil Road Near Waris Colony, Okara",0321-4709321
682,Okara,Macca Diagnostic Private limited,teh. road opp. govt girls model high school near allied bank okara,3006330024
683,Okara,Medi Test Lab,"Near Bus Stand Kasur Road, Depalpur, Okara",0300-6962375
684,Okara,Medi Test Lab And Digital X-Ray Centre,"Near MCB, Ghalla Mandi, Renala Khurd, Okara",0321-5489853
685,Okara,Medi Test Laboratory & X-Ray Center,Near D.H.Q Hospital District Okara,0300-3866488
686,Okara,Mid City Laboratory,"Near Tehseel Complex, C Block Road, Okara",0300-7538929
687,Okara,Multi Test Lab,"Near Ratta Khana Chowk Kasur Road Depalpur, Okara",0322-6918292
688,Okara,Okara city lab,Shop no 10 thandi sarak amir colony okara,3008744902
689,Okara,Punjab Test Laboratory,"Opposite DHQ Hospital, Okara",3008744902
690,Okara,Qari Lab,"18-Nawab Colony Girls College Road, Okara",3000333351
691,Okara,Raheem Medical Lab,"Adda Gamber G.T Road, Cantt, Okara",3332160925
692,Okara,"Tahir Diagnostic Centre, Okara","Tahir Diagnostic Centre, Muslim Colony Near DHQ Hospital Okara",0300-6951525
693,Pakpattan,Al Shifa Lab,"Hospital Road, Pakpattan",0300-4020490
694,Pakpattan,"Ganjshakar Pathology Laboratory, Pakpattan","Opposite DHQ Hospital, Pakpattan",3006903882
695,Pakpattan,Medi Care Test Lab,"Opposite DHQ Hospital, Pakpattan",ÿ
696,Pakpattan,Ramzan Lab,"College Road, Pakpattan",0300-6943614
697,Rahim Yar Khan,Ahmed Lab,"Hospital Road, Rahim Yar Khan",0300-9671188
698,Rahim Yar Khan,Al-Noor X-Ray Centre,"Model Town-B, Khan Pur, Rahim Yar Khan",3360300702
699,Rahim Yar Khan,Ayesha Clinical Lab,Opposite Shaikh Zaid Hospital Rahim Yar Khan,0300-6706399
700,Rahim Yar Khan,Azra Clinical Lab,Hospital Road Rahim Yar Khan,0300-9675175
